Amount,Country,Currency,MerchantId,CustomerId,HourOfDay,IsFraud
79.97,AU,AUD,m_0186,c_03406,11,false
49.25,IN,INR,m_0421,c_01493,6,false
36.04,US,USD,m_0460,c_00959,20,false
67.50,SG,SGD,m_0199,c_01507,22,false
28.04,US,USD,m_0515,c_02161,23,false
226.78,AU,AUD,m_0257,c_00214,22,false
11.49,US,USD,m_0529,c_03487,22,false
29.11,US,USD,m_0228,c_03346,6,false
26.77,AU,AUD,m_0383,c_00966,17,false
23.79,AU,AUD,m_0732,c_02663,10,false
4.46,AU,AUD,m_0713,c_03405,3,false
18.66,US,USD,m_0020,c_01049,10,false
19.68,BR,BRL,m_0114,c_03180,15,false
33.09,AU,AUD,m_0638,c_01873,21,false
24.16,GB,GBP,m_0148,c_01194,20,false
35.27,AU,AUD,m_0685,c_00351,19,false
10.73,NG,NGN,m_0520,c_02270,21,false
9.07,US,USD,m_0070,c_01413,8,false
5.92,AU,AUD,m_0341,c_00547,21,false
161.06,SG,SGD,m_0702,c_01904,21,false
29.88,AU,AUD,m_0795,c_03866,20,false
19.27,AU,AUD,m_0324,c_03824,9,false
14.53,SG,SGD,m_0772,c_02650,9,false
82.44,CA,CAD,m_0280,c_00510,8,false
5.78,US,USD,m_0348,c_03989,15,false
26.38,US,USD,m_0085,c_02979,8,false
14.36,ZA,ZAR,m_0329,c_00421,13,false
46.93,US,USD,m_0458,c_00174,14,false
47.97,GB,GBP,m_0077,c_02750,6,false
77.00,SG,SGD,m_0147,c_03477,9,false
28.89,AU,AUD,m_0661,c_01501,21,false
20.10,US,USD,m_0543,c_01504,11,false
47.09,AU,AUD,m_0191,c_02045,20,false
32.55,AU,AUD,m_0220,c_02507,23,false
73.61,IN,INR,m_0456,c_00360,20,false
92.36,AU,AUD,m_0729,c_02907,11,false
32.59,AU,AUD,m_0243,c_03238,11,false
17.86,US,USD,m_0133,c_02507,17,false
12.92,US,USD,m_0589,c_00303,15,false
44.40,AU,AUD,m_0353,c_00526,17,false
17.97,NG,NGN,m_0057,c_03406,22,false
163.31,AU,AUD,m_0231,c_01418,20,false
36.59,AU,AUD,m_0651,c_03918,12,false
48.21,AU,AUD,m_0657,c_00691,17,false
19.85,AU,AUD,m_0346,c_03452,18,false
45.02,US,USD,m_0510,c_03642,9,false
26.45,NG,NGN,m_0702,c_01664,21,false
24.04,AU,AUD,m_0476,c_00836,16,false
16.02,IN,INR,m_0354,c_03996,22,false
19.48,US,USD,m_0478,c_00502,12,false
13.90,AU,AUD,m_0631,c_01713,15,false
120.76,US,USD,m_0164,c_02041,21,false
38.49,AU,AUD,m_0247,c_00882,16,false
29.70,AU,AUD,m_0670,c_02755,22,false
67.62,SG,SGD,m_0745,c_01499,13,false
18.34,US,USD,m_0372,c_02267,12,false
41.21,US,USD,m_0639,c_02787,22,false
25.29,AU,AUD,m_0572,c_03846,14,false
13.02,GB,GBP,m_0047,c_00160,9,false
15.44,US,USD,m_0528,c_00573,18,false
7.14,AU,AUD,m_0307,c_02432,5,false
9.58,US,USD,m_0487,c_03342,8,false
8.81,AU,AUD,m_0743,c_03573,13,false
39.36,CA,CAD,m_0739,c_00211,7,false
68.59,GB,GBP,m_0390,c_00606,22,false
22.72,US,USD,m_0020,c_01807,7,false
24.02,GB,GBP,m_0627,c_03771,21,false
28.55,NZ,NZD,m_0575,c_01332,7,false
73.82,US,USD,m_0739,c_02789,22,false
103.01,GB,GBP,m_0286,c_02286,12,false
14.10,US,USD,m_0739,c_01121,17,false
57.33,US,USD,m_0354,c_03911,23,false
32.04,AU,AUD,m_0355,c_03785,0,false
38.32,US,USD,m_0278,c_03822,17,false
61.64,AU,AUD,m_0249,c_00208,7,false
28.55,GB,GBP,m_0339,c_02939,15,false
34.87,AU,AUD,m_0417,c_02675,1,false
144.87,NG,NGN,m_0061,c_03719,19,false
73.38,AU,AUD,m_0180,c_01712,6,false
42.38,IN,INR,m_0508,c_00764,3,false
73.08,BR,BRL,m_0280,c_00790,23,false
230.46,NZ,NZD,m_0191,c_00058,20,false
49.42,US,USD,m_0626,c_03507,7,false
17.65,US,USD,m_0686,c_00391,15,false
29.23,AU,AUD,m_0393,c_00965,13,false
78.11,AU,AUD,m_0012,c_01072,18,false
81.74,AU,AUD,m_0164,c_01661,13,false
15.76,BR,BRL,m_0225,c_03922,12,false
135.01,NZ,NZD,m_0719,c_02250,15,false
1.89,US,USD,m_0541,c_02883,23,false
13.54,AU,AUD,m_0587,c_02199,7,false
27.40,US,USD,m_0735,c_02389,12,false
30.61,US,USD,m_0526,c_01702,11,false
280.25,US,USD,m_0406,c_01043,6,false
35.70,US,USD,m_0718,c_00262,14,false
18.60,IN,INR,m_0033,c_01176,3,false
143.91,CA,CAD,m_0431,c_01534,5,false
29.66,IN,INR,m_0083,c_02797,3,false
73.95,RU,RUB,m_0306,c_01897,6,false
15.97,US,USD,m_0472,c_01418,7,false
729.26,IN,INR,m_0677,c_01718,6,false
47.78,IN,INR,m_0104,c_02433,10,false
232.48,NZ,NZD,m_0553,c_00890,12,false
16.90,AU,AUD,m_0750,c_02360,1,false
35.24,GB,GBP,m_0147,c_02705,13,false
5.84,AU,AUD,m_0753,c_03734,18,false
21.57,US,USD,m_0659,c_02750,14,false
75.87,GB,GBP,m_0386,c_00754,13,false
30.96,SG,SGD,m_0148,c_03301,20,false
19.03,US,USD,m_0138,c_01591,17,false
58.91,GB,GBP,m_0095,c_02194,2,false
52.32,AU,AUD,m_0041,c_03579,18,false
80.66,AU,AUD,m_0311,c_03920,14,false
41.48,AU,AUD,m_0249,c_02850,23,false
28.08,IN,INR,m_0290,c_01560,21,false
215.18,AU,AUD,m_0478,c_00404,16,false
23.63,CA,CAD,m_0380,c_01282,12,false
55.42,AU,AUD,m_0567,c_03829,13,false
103.77,AU,AUD,m_0389,c_02334,12,false
30.86,GB,GBP,m_0782,c_03366,13,false
8.48,NZ,NZD,m_0361,c_00694,20,false
42.12,AU,AUD,m_0537,c_00139,6,false
60.74,AU,AUD,m_0383,c_00248,16,false
36.37,GB,GBP,m_0017,c_00028,16,false
172.11,AU,AUD,m_0018,c_02058,8,false
17.37,SG,SGD,m_0099,c_02148,0,false
22.95,US,USD,m_0407,c_00324,8,false
9.48,US,USD,m_0308,c_02802,1,false
10.73,US,USD,m_0010,c_02879,19,false
31.69,US,USD,m_0541,c_03765,6,false
66.87,AU,AUD,m_0578,c_02696,4,false
42.66,NZ,NZD,m_0307,c_00666,10,false
55.14,SG,SGD,m_0340,c_01573,17,false
19.71,RU,RUB,m_0055,c_00401,8,false
10.91,AU,AUD,m_0793,c_01337,23,false
25.47,ZA,ZAR,m_0567,c_03855,14,false
196.82,US,USD,m_0634,c_01210,21,false
60.44,AU,AUD,m_0650,c_00632,20,false
54.57,AU,AUD,m_0456,c_01475,13,false
28.16,AU,AUD,m_0569,c_02099,17,false
25.08,US,USD,m_0333,c_03538,18,false
37.15,US,USD,m_0249,c_02343,17,false
8.80,AU,AUD,m_0505,c_00598,13,false
32.50,US,USD,m_0370,c_01031,10,false
85.21,US,USD,m_0406,c_01361,9,false
41.74,IN,INR,m_0667,c_03991,15,false
10.25,GB,GBP,m_0322,c_00728,16,false
5.70,US,USD,m_0334,c_01541,12,false
3.45,US,USD,m_0607,c_02235,1,false
10.33,AU,AUD,m_0449,c_03268,7,false
13.63,SG,SGD,m_0690,c_02046,23,false
26.65,AU,AUD,m_0387,c_00303,15,false
47.36,US,USD,m_0709,c_01714,22,false
9.13,US,USD,m_0112,c_03150,6,false
8.02,AU,AUD,m_0661,c_02775,18,false
35.76,AU,AUD,m_0523,c_03060,12,false
89.57,US,USD,m_0475,c_03164,15,false
14.98,AU,AUD,m_0108,c_01211,3,false
30.34,US,USD,m_0357,c_01951,16,false
35.21,AU,AUD,m_0352,c_02655,6,false
27.12,AU,AUD,m_0238,c_03268,16,false
109.29,GB,GBP,m_0756,c_02516,9,false
318.35,US,USD,m_0211,c_01141,12,false
24.86,AU,AUD,m_0550,c_00766,22,false
59.87,AU,AUD,m_0541,c_03957,16,false
30.35,GB,GBP,m_0361,c_03464,14,false
21.74,GB,GBP,m_0689,c_00549,6,false
28.14,AU,AUD,m_0524,c_01592,11,false
16.90,US,USD,m_0551,c_02841,19,false
10.03,AU,AUD,m_0462,c_02538,22,false
44.90,AU,AUD,m_0394,c_03948,22,false
8.90,US,USD,m_0455,c_02002,20,false
35.79,CA,CAD,m_0282,c_00921,9,false
9.14,US,USD,m_0563,c_02093,23,false
106.59,AU,AUD,m_0436,c_00420,7,false
8.03,AU,AUD,m_0461,c_01077,6,false
135.81,US,USD,m_0215,c_03321,1,false
15.18,IN,INR,m_0170,c_02524,15,false
40.44,AU,AUD,m_0546,c_01152,14,false
54.05,RU,RUB,m_0274,c_03902,18,false
94.23,NG,NGN,m_0284,c_03552,6,false
87.40,AU,AUD,m_0254,c_03119,14,false
26.45,AU,AUD,m_0425,c_01537,19,false
504.03,IN,INR,m_0768,c_01140,17,false
192.40,US,USD,m_0003,c_03560,18,false
99.77,NZ,NZD,m_0715,c_01468,19,false
41.28,AU,AUD,m_0592,c_00535,17,false
124.66,AU,AUD,m_0048,c_00408,9,false
7.10,AU,AUD,m_0452,c_01870,1,false
47.17,AU,AUD,m_0281,c_00383,11,false
80.35,US,USD,m_0054,c_01624,1,false
14.67,CA,CAD,m_0721,c_00390,10,false
62.63,GB,GBP,m_0352,c_03347,20,false
2.25,AU,AUD,m_0105,c_00423,21,false
8.98,AU,AUD,m_0657,c_02774,7,false
4.69,AU,AUD,m_0360,c_02960,16,false
21.19,IN,INR,m_0223,c_00356,16,false
41.64,CA,CAD,m_0087,c_01017,19,false
16.35,GB,GBP,m_0675,c_03588,6,false
351.04,US,USD,m_0662,c_00224,8,false
46.60,AU,AUD,m_0512,c_02614,12,false
178.41,RU,RUB,m_0136,c_01585,2,false
38.55,US,USD,m_0483,c_03910,21,false
56.94,AU,AUD,m_0519,c_01174,3,false
35.74,US,USD,m_0656,c_02198,6,false
16.14,AU,AUD,m_0160,c_02198,12,false
117.00,CA,CAD,m_0068,c_01271,19,false
26.99,SG,SGD,m_0445,c_00476,10,false
109.38,AU,AUD,m_0123,c_00052,7,false
77.24,AU,AUD,m_0530,c_03208,4,false
20.17,US,USD,m_0751,c_03631,8,false
32.67,US,USD,m_0643,c_00316,18,false
20.73,AU,AUD,m_0377,c_00645,7,false
1.78,US,USD,m_0759,c_02085,7,false
29.85,AU,AUD,m_0567,c_03290,0,false
21.37,US,USD,m_0080,c_02342,8,false
30.46,IN,INR,m_0529,c_00189,21,false
24.11,SG,SGD,m_0468,c_00033,17,false
45.17,CA,CAD,m_0476,c_01509,7,false
27.08,CA,CAD,m_0779,c_03261,17,false
67.50,AU,AUD,m_0344,c_00006,6,false
1.00,NZ,NZD,m_0543,c_00976,12,false
43.09,RU,RUB,m_0096,c_00180,13,false
37.55,US,USD,m_0595,c_00392,0,false
18.20,US,USD,m_0446,c_02714,9,false
21.70,SG,SGD,m_0326,c_01855,8,false
11.26,AU,AUD,m_0160,c_00433,6,false
21.17,US,USD,m_0213,c_01852,21,false
80.26,AU,AUD,m_0312,c_03385,19,false
16.94,AU,AUD,m_0094,c_02913,7,false
40.99,US,USD,m_0179,c_00128,13,false
80.20,AU,AUD,m_0144,c_00498,21,false
123.14,GB,GBP,m_0601,c_01061,18,false
119.54,AU,AUD,m_0126,c_00175,8,false
16.20,NZ,NZD,m_0700,c_01748,15,false
43.43,AU,AUD,m_0036,c_02516,11,false
10.52,AU,AUD,m_0491,c_00250,17,false
102.91,US,USD,m_0539,c_01021,21,false
42.44,CA,CAD,m_0368,c_01965,5,false
4.65,IN,INR,m_0277,c_00737,15,false
15.24,US,USD,m_0239,c_03990,18,false
1.73,AU,AUD,m_0755,c_00230,21,false
188.16,ZA,ZAR,m_0607,c_01303,12,false
37.91,IN,INR,m_0361,c_03882,20,false
4.90,BR,BRL,m_0556,c_01266,23,false
73.51,AU,AUD,m_0629,c_00826,14,false
4.28,AU,AUD,m_0061,c_00090,8,false
64.84,AU,AUD,m_0374,c_03935,17,false
24.53,AU,AUD,m_0750,c_03886,11,false
186.83,US,USD,m_0576,c_02841,20,false
11.43,US,USD,m_0180,c_01550,22,false
38.15,AU,AUD,m_0790,c_03954,23,false
8.60,AU,AUD,m_0655,c_02317,7,false
176.32,AU,AUD,m_0328,c_00688,14,false
20.89,NZ,NZD,m_0272,c_00859,9,false
27.59,AU,AUD,m_0050,c_01581,9,false
9.50,AU,AUD,m_0360,c_02237,15,false
76.80,CA,CAD,m_0704,c_00924,21,false
80.89,AU,AUD,m_0351,c_00697,0,false
67.82,AU,AUD,m_0347,c_02434,0,false
14.00,GB,GBP,m_0161,c_00220,15,false
18.91,AU,AUD,m_0748,c_02213,20,false
32.58,AU,AUD,m_0563,c_03441,18,false
41.05,AU,AUD,m_0678,c_02561,22,false
77.69,AU,AUD,m_0084,c_01940,13,false
49.27,US,USD,m_0272,c_00374,19,false
15.50,US,USD,m_0457,c_00183,11,false
48.09,AU,AUD,m_0155,c_03082,9,false
20.13,GB,GBP,m_0775,c_02416,23,false
190.94,US,USD,m_0704,c_03551,17,false
34.34,AU,AUD,m_0732,c_00143,15,false
134.14,SG,SGD,m_0151,c_00493,18,false
49.09,BR,BRL,m_0198,c_00517,12,false
9.84,SG,SGD,m_0265,c_01310,18,false
76.22,US,USD,m_0533,c_01877,13,false
61.83,CA,CAD,m_0152,c_02321,11,false
11.33,BR,BRL,m_0799,c_00414,4,false
6.95,US,USD,m_0283,c_01651,11,false
7.59,GB,GBP,m_0708,c_00974,14,false
15.78,AU,AUD,m_0311,c_01274,14,false
8.71,GB,GBP,m_0234,c_00551,22,false
45.04,CA,CAD,m_0427,c_02478,20,false
34.16,AU,AUD,m_0778,c_02116,23,false
36.47,AU,AUD,m_0800,c_03487,11,false
24.56,AU,AUD,m_0060,c_01022,7,false
19.32,US,USD,m_0651,c_03781,15,false
72.34,AU,AUD,m_0353,c_00670,8,false
8.57,SG,SGD,m_0396,c_00204,9,false
19.67,NG,NGN,m_0694,c_00847,7,false
15.44,AU,AUD,m_0486,c_03734,6,false
26.85,SG,SGD,m_0313,c_02920,18,false
36.38,AU,AUD,m_0310,c_02774,16,false
63.22,US,USD,m_0384,c_02300,19,false
188.93,AU,AUD,m_0345,c_01133,10,false
34.43,AU,AUD,m_0193,c_00615,8,false
100.74,AU,AUD,m_0677,c_01310,23,false
30.00,GB,GBP,m_0429,c_01658,2,false
106.37,NZ,NZD,m_0352,c_02976,12,false
21.91,GB,GBP,m_0368,c_02078,19,false
14.00,GB,GBP,m_0100,c_01929,13,false
24.30,SG,SGD,m_0697,c_03685,7,false
95.22,US,USD,m_0431,c_03229,8,false
149.82,US,USD,m_0482,c_00220,10,false
91.80,BR,BRL,m_0513,c_00491,12,false
119.70,AU,AUD,m_0155,c_00563,22,false
82.15,RU,RUB,m_0147,c_01296,23,false
8.30,AU,AUD,m_0321,c_02599,11,false
54.37,AU,AUD,m_0502,c_03217,7,false
31.85,GB,GBP,m_0440,c_03954,15,false
67.11,US,USD,m_0330,c_03101,6,false
84.79,GB,GBP,m_0232,c_02841,12,false
73.09,AU,AUD,m_0172,c_00268,13,false
47.94,AU,AUD,m_0445,c_03638,8,false
26.71,ZA,ZAR,m_0193,c_00676,21,false
33.42,NZ,NZD,m_0023,c_02416,20,false
113.84,NZ,NZD,m_0656,c_01048,23,false
26.30,US,USD,m_0670,c_03425,10,false
28.47,US,USD,m_0211,c_02848,11,false
62.41,US,USD,m_0141,c_01716,20,false
17.36,NZ,NZD,m_0109,c_02039,10,false
27.54,AU,AUD,m_0367,c_02882,12,false
47.06,US,USD,m_0493,c_01355,5,false
13.21,BR,BRL,m_0741,c_02964,6,false
17.43,AU,AUD,m_0271,c_01902,2,false
46.43,US,USD,m_0777,c_03647,22,false
62.63,US,USD,m_0275,c_03599,18,false
212.13,AU,AUD,m_0468,c_01114,15,false
30.91,US,USD,m_0171,c_00464,21,false
10.72,US,USD,m_0368,c_02505,21,false
125.18,AU,AUD,m_0013,c_02886,14,false
18.51,NZ,NZD,m_0686,c_03577,7,false
30.20,NZ,NZD,m_0745,c_01019,19,false
44.34,GB,GBP,m_0572,c_03654,22,false
32.50,SG,SGD,m_0077,c_03078,7,false
12.33,RU,RUB,m_0564,c_02636,12,false
100.12,AU,AUD,m_0459,c_00361,18,false
27.89,AU,AUD,m_0019,c_00421,19,false
7.16,US,USD,m_0521,c_02304,8,false
32.21,NG,NGN,m_0229,c_03459,9,false
30.26,GB,GBP,m_0373,c_02933,19,false
103.29,GB,GBP,m_0649,c_03951,14,false
282.66,US,USD,m_0505,c_00576,11,false
111.69,US,USD,m_0193,c_00495,12,false
4.48,US,USD,m_0111,c_03102,8,false
9.48,SG,SGD,m_0462,c_01874,21,false
4.55,US,USD,m_0600,c_01979,15,false
144.77,GB,GBP,m_0429,c_02495,15,false
10.43,AU,AUD,m_0767,c_02099,20,false
44.71,IN,INR,m_0206,c_00859,7,false
161.56,AU,AUD,m_0666,c_03995,20,false
42.78,GB,GBP,m_0780,c_01443,10,false
26.69,BR,BRL,m_0433,c_03311,8,false
47.87,AU,AUD,m_0165,c_01174,21,false
85.45,AU,AUD,m_0772,c_02217,7,false
9.42,AU,AUD,m_0710,c_02722,8,false
85.12,US,USD,m_0566,c_00221,8,false
40.51,IN,INR,m_0774,c_02411,8,false
21.87,CA,CAD,m_0460,c_00727,2,false
50.68,AU,AUD,m_0339,c_01911,6,false
